                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.24864,                 0.2593,                0.19632,                0.85006,                0.99889,                      1,                  0.995,                  0.995,                0.99889,                      1,                  0.995,                  0.995,                 0.1357,                0.14356,                0.11778,                0.76404,               0.000614,               0.000614,               0.000614
                     72,                0.26217,                0.24033,                0.20747,                0.85352,                0.99872,                      1,                  0.995,                  0.995,                0.99872,                      1,                  0.995,                  0.995,                0.12744,                0.13435,                0.12198,                0.76065,              0.0005942,              0.0005942,              0.0005942
                     73,                0.24319,                0.23762,                0.19983,                 0.8455,                0.99886,                      1,                  0.995,                  0.995,                0.99886,                      1,                  0.995,                  0.995,                0.11856,                0.13785,                0.10622,                0.76143,              0.0005744,              0.0005744,              0.0005744
                     74,                0.23794,                0.21687,                0.19873,                0.84123,                0.99839,                      1,                  0.995,                  0.995,                0.99839,                      1,                  0.995,                  0.995,                0.11579,                0.13646,                0.10969,                0.75936,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.2477,                0.23412,                0.19781,                0.84277,                0.99885,                      1,                  0.995,                  0.995,                0.99885,                      1,                  0.995,                  0.995,                0.10644,                0.13696,                0.10998,                  0.759,              0.0005348,              0.0005348,              0.0005348
                     76,                0.22587,                0.22854,                0.18671,                0.84504,                 0.9989,                      1,                  0.995,                  0.995,                 0.9989,                      1,                  0.995,                  0.995,                0.13224,                0.15542,                 0.1143,                0.76198,               0.000515,               0.000515,               0.000515
                     77,                0.20699,                0.18871,                0.17699,                0.84055,                0.99889,                      1,                  0.995,                  0.995,                0.99889,                      1,                  0.995,                  0.995,                0.12318,                0.13535,                0.11428,                 0.7602,              0.0004952,              0.0004952,              0.0004952
                     78,                0.21764,                0.24611,                0.19013,                0.83902,                 0.9989,                      1,                  0.995,                  0.995,                 0.9989,                      1,                  0.995,                  0.995,                0.11989,                0.13421,                 0.1112,                0.76432,              0.0004754,              0.0004754,              0.0004754
                     79,                0.23188,                0.21149,                0.19227,                0.84126,                0.99887,                      1,                  0.995,                  0.995,                0.99887,                      1,                  0.995,                  0.995,                 0.1105,                0.12836,                0.10838,                0.76127,              0.0004556,              0.0004556,              0.0004556
                     80,                0.21091,                0.23655,                0.17996,                0.84299,                0.99892,                      1,                  0.995,                  0.995,                0.99892,                      1,                  0.995,                  0.995,                0.10908,                0.12984,                0.10607,                0.76229,              0.0004358,              0.0004358,              0.0004358
                     81,                 0.2106,                0.20784,                0.18322,                0.84381,                0.99889,                      1,                  0.995,                  0.995,                0.99889,                      1,                  0.995,                  0.995,                0.09927,                0.13627,                 0.0959,                0.75542,               0.000416,               0.000416,               0.000416
                     82,                0.21461,                0.20216,                0.18402,                0.84348,                0.99892,                      1,                  0.995,                  0.995,                0.99892,                      1,                  0.995,                  0.995,                0.10042,                 0.1296,                0.09588,                0.75558,              0.0003962,              0.0003962,              0.0003962
                     83,                 0.2325,                0.21381,                0.19151,                0.84744,                 0.9989,                      1,                  0.995,                  0.995,                 0.9989,                      1,                  0.995,                  0.995,                0.09741,                0.13049,                0.09302,                0.75551,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.2148,                0.19404,                0.18058,                 0.8421,                0.99891,                      1,                  0.995,                  0.995,                0.99891,                      1,                  0.995,                  0.995,                0.09884,                0.12709,                0.11208,                0.75656,              0.0003566,              0.0003566,              0.0003566
                     85,                0.22437,                0.21722,                0.17776,                  0.842,                 0.9989,                      1,                  0.995,                  0.995,                 0.9989,                      1,                  0.995,                  0.995,                0.09441,                0.12581,                0.09281,                0.75623,              0.0003368,              0.0003368,              0.0003368
                     86,                0.19922,                0.19127,                0.17174,                0.83953,                0.99892,                      1,                  0.995,                  0.995,                0.99892,                      1,                  0.995,                  0.995,                0.10395,                0.13508,                0.09912,                0.75609,               0.000317,               0.000317,               0.000317
                     87,                0.20886,                0.19669,                0.16395,                0.83852,                0.99892,                      1,                  0.995,                  0.995,                0.99892,                      1,                  0.995,                  0.995,                0.08999,                0.13331,                0.09695,                 0.7549,              0.0002972,              0.0002972,              0.0002972
                     88,                0.21853,                0.23635,                0.17242,                0.84103,                0.99893,                      1,                  0.995,                  0.995,                0.99893,                      1,                  0.995,                  0.995,                0.08892,                0.12791,                0.09021,                0.75614,              0.0002774,              0.0002774,              0.0002774
                     89,                0.20388,                0.21483,                0.17542,                0.83687,                0.99892,                      1,                  0.995,                  0.995,                0.99892,                      1,                  0.995,                  0.995,                0.09274,                0.12988,                0.08823,                0.75519,              0.0002576,              0.0002576,              0.0002576
                     90,                0.20986,                0.22826,                0.17354,                0.84547,                0.99893,                      1,                  0.995,                  0.995,                0.99893,                      1,                  0.995,                  0.995,                0.08471,                0.13534,                0.08362,                0.75448,              0.0002378,              0.0002378,              0.0002378
                     91,                0.11869,                0.15295,                0.11155,                 0.7932,                0.99889,                      1,                  0.995,                  0.995,                0.99889,                      1,                  0.995,                  0.995,                0.08935,                0.12958,                0.08886,                0.75286,               0.000218,               0.000218,               0.000218
                     92,                0.10651,                0.14279,                0.10328,                0.78574,                 0.9989,                      1,                  0.995,                  0.995,                 0.9989,                      1,                  0.995,                  0.995,                0.08953,                0.12922,                0.08411,                0.75415,              0.0001982,              0.0001982,              0.0001982
                     93,                0.10917,                0.13842,                0.10392,                0.78457,                 0.9989,                      1,                  0.995,                  0.995,                 0.9989,                      1,                  0.995,                  0.995,                 0.0881,                0.13085,                0.08763,                0.75474,              0.0001784,              0.0001784,              0.0001784
                     94,                0.09817,                0.13516,                 0.0993,                0.76776,                0.99892,                      1,                  0.995,                  0.995,                0.99892,                      1,                  0.995,                  0.995,                0.08597,                0.12582,                 0.0825,                0.75361,              0.0001586,              0.0001586,              0.0001586
                     95,                0.09843,                0.13181,                0.09674,                0.76014,                0.99891,                      1,                  0.995,                  0.995,                0.99891,                      1,                  0.995,                  0.995,                0.08593,                0.12393,                0.08229,                 0.7531,              0.0001388,              0.0001388,              0.0001388
                     96,                0.09714,                  0.136,                0.09884,                0.77337,                0.99893,                      1,                  0.995,                  0.995,                0.99893,                      1,                  0.995,                  0.995,                0.08446,                0.12133,                0.08641,                 0.7526,               0.000119,               0.000119,               0.000119
                     97,                0.09758,                0.13065,                0.10073,                0.78398,                0.99892,                      1,                  0.995,                  0.995,                0.99892,                      1,                  0.995,                  0.995,                0.07999,                0.12223,                0.08632,                0.75229,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.09056,                0.12885,                0.09498,                0.78435,                0.99892,                      1,                  0.995,                  0.995,                0.99892,                      1,                  0.995,                  0.995,                0.07391,                0.12171,                0.08362,                0.75141,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.09335,                0.13194,                0.09452,                0.78349,                0.99892,                      1,                  0.995,                  0.995,                0.99892,                      1,                  0.995,                  0.995,                0.07441,                0.12617,                0.07908,                0.75151,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.08588,                0.12821,                0.09008,                0.77217,                0.99893,                      1,                  0.995,                  0.995,                0.99893,                      1,                  0.995,                  0.995,                0.07217,                0.12182,                0.07465,                0.75161,               3.98e-05,               3.98e-05,               3.98e-05
